Topic,Count,Name,Representation,Representative_Docs
10,2350,10_dividend_quarterly dividend_declares_quarterly,"['dividend', 'quarterly dividend', 'declares', 'quarterly', 'cash dividend', 'quarterly cash', 'cash', 'bancorp', 'increases quarterly', 'increases']","['teco energy declares quarterly dividend', 'bancorpsouth, inc. declares quarterly dividend', 'oceaneering declares quarterly dividend']"
11,2297,11_earnings release_release_quarter earnings_webcast,"['earnings release', 'release', 'quarter earnings', 'webcast', 'schedules', 'earnings', 'conference webcast', '2012 earnings', 'conference', 'date']","['bank of the ozarks, inc. announces third quarter earnings release date and conference call', 'rockville financial, inc. announces third quarter earnings release and conference call', 'mattersight schedules first quarter earnings release and conference call']"
12,2115,12_kong_hong_hong kong_china shares,"['kong', 'hong', 'hong kong', 'china shares', 'hk', 'china stocks', 'shares', 'china', 'shares end', 'shares open']","['hong kong - july 6', 'hong kong - april 2', 'consumer lifestyles in hong kong, china']"
13,2104,13_brazil_petrobras_brazilian_vale,"['brazil', 'petrobras', 'brazilian', 'vale', 'emerging', 'real', 'inflation', 'banco', 'brasil', 'bradesco']","['brazil itau unibanco names candido bracher as ceo', 'brazil funding still too dependent on bndes, odebrecht says', 'profit at brazil ambev rises']"
14,2093,14_fy_ebitda_euros_revenue,"['fy', 'ebitda', 'euros', 'revenue', 'revenue growth', 'ebit', 'mln euros', 'net', 'revenues', 'million euros']","['brief-indata fy 2015 net profit down at 6.5 mln zlotys', 'brief-cie automotive fy ebitda rises by 21% to 290.9 mln euros', 'brief-televerbier fy ebitda stable at 14.1 mln euros']"
15,2071,15_preciousgold_gold_bullion_gold prices,"['preciousgold', 'gold', 'bullion', 'gold prices', 'near', 'dollar', 'low', 'gains', 'fed', 'holds']","['gold ends higher', 'gold solidifies gains', 'gold ends flat']"
16,1982,16_ipo_yuan_mln yuan_placement,"['ipo', 'yuan', 'mln yuan', 'placement', 'bln yuan', 'private placement', 'raise', 'alibaba', 'mln', 'plans']","['brief-electronics firm tai yuan tianlong to raise 516 mln yuan via private placement of shares', 'brief-jiangsu aoyang tech to raise up to 836 mln yuan in private placement', 'brief-nanning baling tech to raise up to 581.7 mln yuan in private placement']"
17,1966,17_european_european shares_european stocks_europe,"['european', 'european shares', 'european stocks', 'europe', 'stocks', 'shares', 'europe stocks', 'europe shares', 'factors', 'shares rise']","['european stocks give up gains', 'european stocks eke out gains', 'european stocks firm']"
18,1931,18_global chinese_chinese_industry 2014_industry,"['global chinese', 'chinese', 'industry 2014', 'industry', 'market size', 'size', '2014 global', 'global market', 'industry outlook', 'acid']","['global and chinese aniline industry report 2014', 'global and chinese polyester polyol industry report 2014', 'global and chinese xanthan gum industry report 2014']"
19,1890,19_carbon_solar_climate_renewable,"['carbon', 'solar', 'climate', 'renewable', 'power', 'nuclear', 'renewable energy', 'wind', 'energy', 'climate change']","['best buy gets a 96a from the cdp for carbon performance & climate change disclosure', 'carbon funds 2011', 'nuclear power in taiwan, market outlook to 2025, 2012 update - capacity, generation, regulations, power plants, companies']"
20,1820,20_retirement_voices_clients_client,"['retirement', 'voices', 'clients', 'client', 'advisers', '401', 'planning', 'helping', 'adviser', 'savings']","['voices: cicily maton, on clients sudden money events', 'voices: how to manage clients transition to retirement', 'voices: how to help clients set smart retirement goals']"
21,1800,21_bancorp_ended_net income_quarter ended,"['bancorp', 'ended', 'net income', 'quarter ended', 'quarter', 'results quarter', 'ended september', 'ended december', 'december 31', '31']","['iplayco announces financial results for the first quarter ended december 31, 2012', 'first bancorp reports financial results for the quarter ended september 30, 2011', 'highlands bancorp, inc. reports increased net income and earnings per share for the first quarter ended march 31, 2013']"
22,1782,22_public offering_offering_common stock_common,"['public offering', 'offering', 'common stock', 'common', 'public', 'initial public', 'initial', 'stock', 'ipo', 'stock offering']","['felcor prices public offering of common stock', 'immunogen, inc. prices public offering of common stock', 'newcastle announces public offering of common stock']"
23,1749,23_2014 results_quarter 2014_second quarter_2013 results,"['2014 results', 'quarter 2014', 'second quarter', '2013 results', 'second', 'quarter 2013', 'results', 'quarter', 'quarter results', '2014']","['enteromedics reports second quarter 2014 financial results', 'cyan reports second quarter 2014 financial results', 'shutterstock reports second quarter 2014 financial results']"
24,1742,24_factors watch_factors_watch_nordic,"['factors watch', 'factors', 'watch', 'nordic', 'stocks', 'german', 'african', 'swiss', 'french', 'nov']","['uk stocks-factors to watch on march 9', 'uk stocks-factors to watch on march 9', 'german stocks - factors to watch on may 5']"
25,1724,25_russia_russian_ukraine_moscow,"['russia', 'russian', 'ukraine', 'moscow', 'sberbank', 'eurobond', 'reserves', 'sanctions', 'cbank', 'bln']","['russia to lower u.s. debt holdings', 'markets rise but russia in focus', 'russia pilots braked on takeoff']"
26,1700,26_stores_penney_walmart_sears,"['stores', 'penney', 'walmart', 'sears', 'depot', 'jc penney', 'jc', 'staples', 'macy', 'men']","['office depot to close 400 u.s. stores', 'j.c. penney to close 33 stores, cut 2,000 jobs', 'sears plans to close more stores']"
27,1685,27_home_housing_real estate_estate,"['home', 'housing', 'real estate', 'estate', 'real', 'home sales', 'housing market', 'commercial real', 'home prices', 'commercial']","['brief-investors house sells commercial real estate in pori', 'across the home front', 'cnl commercial real estate expands industrial platform']"
28,1663,28_mobile_payments_payment_cards,"['mobile', 'payments', 'payment', 'cards', 'banking', 'card', 'wallet', 'app', 'credit cards', 'chip']","['gft markets launches mt4 for mobile', 'mobile financial services and the underbanked', 'the future of mobile payments 2012']"
29,1630,29_devices_market outlook_outlook 2020_key players,"['devices', 'market outlook', 'outlook 2020', 'key players', '2020', 'imaging', 'medical', 'players', '2018', 'outlook']","['italy orthopedic devices market outlook to 2020 - arthroscopy, cranio maxillofacial fixation cmf , hip reconstruction, knee reconstruction, spinal surgery, orthobiologics, trauma fixation and others', 'germany orthopedic devices market outlook to 2020 - arthroscopy, cranio maxillofacial fixation cmf , hip reconstruction, knee reconstruction, spinal surgery, orthobiologics, trauma fixation and others', 'canada cardiovascular devices market outlook to 2020']"
30,1592,30_greek_greece_cyprus_euro,"['greek', 'greece', 'cyprus', 'euro', 'bailout', 'debt', 'ecb', 'worries', 'fears', 'deal']","['yanis varoufakis: how europe crushed greece', 'shippers show what greece might be', 'greek markets buckle']"
31,1583,31_asian_asian shares_asia_mixed,"['asian', 'asian shares', 'asia', 'mixed', 'shares', 'asian stocks', 'asia stocks', 'se asia', 'southeast', 'se']","['asian shares down', 'asian shares flat', 'asian shares mostly up']"
32,1518,32_net asset_asset value_value_asset,"['net asset', 'asset value', 'value', 'asset', 'net', 'ishares', 'msci', 'etf', 'river', 'vanguard']","['reg - isharesv s&pcmpdo;&g; - net asset value', 'reg - isharesv s&pcmpdo;&g; - net asset value', 'reg - isharesv s&pcmpdo;&g; - net asset value']"
33,1513,33_bankruptcy_files_chapter_11,"['bankruptcy', 'files', 'chapter', '11', 'protection', 'judge', 'plan', 'exit', 'creditors', 'patriot']","['dolan files for chapter 11 bankruptcy', 'saladworks files for chapter 11 bankruptcy', 'doral financial corp. files for chapter 11 bankruptcy']"
34,1513,34_bond prices_yields_bonds_30year,"['bond prices', 'yields', 'bonds', '30year', 'auction', 'treasurys', '10year', 'treasuries', 'bond', 'prices']","['u.s. bond prices rise as supply absorbed', 'u.s. bond prices flat ahead of 5-year note sale', 'u.s. bond prices rise before 30-year auction']"
35,1504,35_food_ab_dairy_feed,"['food', 'ab', 'dairy', 'feed', 'analysis forecast', 'drinks', 'beer', 'animal', 'forecast 2020', 'trends']","['global food safety equipment and devices market analysis and forecast 2013-2019: food type, contaminants & technology', 'outlook for food prices: high', 'food stocks less tempting']"
36,1466,36_seoul_korea_skorea_south korea,"['seoul', 'korea', 'skorea', 'south korea', 'south', 'korean', 'won', 'shares open', 'shares', 'techs']","['south korea warns on won surge', 'seoul shares', 'milbank opens office in seoul, korea']"
37,1463,37_insider_charges_case_sac,"['insider', 'charges', 'case', 'sac', 'guilty', 'sec', 'fraud', 'pleads', 'pleads guilty', 'sec charges']","['sec charges uncle, nephew with insider trading', 'not-guilty pleas in insider case', 'u.s. charges two more in ibm insider trading case']"
38,1437,38_beats_profit beats_beats street_street,"['beats', 'profit beats', 'beats street', 'street', 'street view', 'view', 'q4 profit', '3m', 'estimates', 'profit']","['diana containerships q3 profit beats street', 'agl resources q4 profit beats wall street', 'opentable q3 profit beats street view; shares rise']"
39,1383,39_income fund_income_distribution_monthly,"['income fund', 'income', 'distribution', 'monthly', 'fund', 'distributions', 'high income', 'aberdeen', 'portfolio', 'alliancebernstein']","['alliancebernstein income fund, inc. monthly distribution', 'alliancebernstein income fund, inc. monthly distribution', 'boralex power income fund declares cash distribution']"
40,1375,40_dollar_dollar slips_data dollar_dollar falls,"['dollar', 'dollar slips', 'data dollar', 'dollar falls', 'dollar gains', 'fed', 'dollar rises', 'slips', 'gains', 'strong dollar']","['dollar falls after fed minutes', 'dollar slips on fed news', 'dollar cements gains']"
41,1368,41_provides_corporate_letter_shareholders,"['provides', 'corporate', 'letter', 'shareholders', 'corporate finance', 'issues', 'shareholder', 'chatter', 'updates', 'press']","['walmer capital corp. provides corporate update', 'stans energy provides corporate update', 'millrock provides corporate update']"
42,1314,42_senior_notes_senior notes_secured,"['senior', 'notes', 'senior notes', 'secured', 'offering', 'senior secured', 'convertible', 'senior unsecured', 'unsecured', 'sells']","['rait financial trust announces public offering of convertible senior notes due 2033', 'the scotts miracle-gro company announces proposed offering of senior notes', 'seagate technology announces offering of $500 million of senior unsecured notes and cash tender offers for outstanding 7.75% senior notes due 2018, 6.875% senior notes due 2020 and 7.000% senior notes due 2021']"
43,1311,43_nasdaq_listing_otc_symbol,"['nasdaq', 'listing', 'otc', 'symbol', 'compliance', 'nyse', 'regains', 'trading', 'ticker', 'begins']","['icagen regains compliance with nasdaq listing requirements', 'nexmed regains compliance with nasdaq listing requirements', 'amdocs to transfer stock exchange listing to the nasdaq stock market']"
44,1308,44_japan_bank japan_boj_abe,"['japan', 'bank japan', 'boj', 'abe', 'capex', 'mood', 'nuclear', 'gdp', 'china japan', 'economy']","['japan furukawa: japan economy continuing in uptrend', 'reg - japan finance corp - issue of debt', 'bleach in japan']"
45,1308,45_quarter 2015_2015 results_announce_announce quarter,"['quarter 2015', '2015 results', 'announce', 'announce quarter', 'results', 'quarter', '2015', '2013 results', '2014 results', 'results quarter']","['sapiens to announce second quarter 2015 financial results on august 5, 2015', 'demand media to announce first quarter 2015 financial results on may 6, 2015', 'e2open to announce first quarter 2015 financial results']"
46,1305,46_pipeline_review_h2_cancer,"['pipeline', 'review', 'h2', 'cancer', 'therapeutics', 'forecast market', 'drug', 'disease', 'market analysis', 'h1']","['global periodontitis pipeline highlights - 2014', 'global diabetic retinopathy pipeline highlights - 2014', 'global optic neuropathy pipeline review 2015']"
47,1297,47_project_exploration_gold_silver,"['project', 'exploration', 'gold', 'silver', 'metals', 'mining', 'gold silver', 'precious', 'precious metals', 'resources']","['company sells interest in silver project', 'soltoro and argentum silver provide exploration update on the coyote silver gold project in jalisco, mexico', 'arcus dawson gold project update']"
48,1272,48_class action_class_deadline_action,"['class action', 'class', 'deadline', 'action', 'lawsuit', 'lead', 'alert', 'shareholder', 'investors', 'board directors']","['shareholder alert: pomerantz law firm reminds shareholders with losses on their investment in bancorpsouth, inc. of class action lawsuit and upcoming deadline -- bxs', 'mov shareholder alert: levi & korsinsky, llp notifies investors of class action against movado group, inc. and its board of directors and a lead plaintiff deadline of april 6, 2015 -- mov', 'shareholder alert: levi & korsinsky, llp notifies shareholders of inogen, inc. of pendency of class action lawsuit and a lead plaintiff deadline of may 12, 2015 - ingn']"
49,1266,49_big banks_banks_big_fdic,"['big banks', 'banks', 'big', 'fdic', 'regulators', 'rules', 'rule', 'small banks', 'capital rules', 'big fail']","['big banks won t drown in liquidity rule', 'big banks back say on pay', 'big u.s. banks to form data company']"
50,1253,50_hedge_hedge fund_hedge funds_funds,"['hedge', 'hedge fund', 'hedge funds', 'funds', 'fund', 'hedgefund', 'managers', 'performance', 'index', 'fund managers']","['us hedge funds lick wounds after may market mayhem', '2014 a big year for hedge-fund launches', 'hedge fund snapshots: surviving the crisis']"
51,1249,51_morgan_morgan stanley_stanley_jp,"['morgan', 'morgan stanley', 'stanley', 'jp', 'jp morgan', 'jpmorgan', 'largest', 'ri', '85 ept', '85']","['u.s. investigates morgan stanley', 'reg - morgan stanley asia - full retirement', 'morgan stanley to sell oil business transmontaigne to ngl energy']"
52,1245,52_indian_shares rise_shares_infosys,"['indian', 'shares rise', 'shares', 'infosys', 'shares fall', 'shares drop', 'india', 'rupee', 'drop', 'rise']","['indian stocks to watch-june 1', 'indian shares rise; infra, tech lead gains', 'indian stocks power to record']"
53,1244,53_moody_updatemoody_ratings_rating,"['moody', 'updatemoody', 'ratings', 'rating', 'negative', 'stable', 'assigns', 'rmbs', 'downgrades', 'outlook']","['moody hears it from u.s. banks', 'moody cuts ratings on some banks', 'moody cuts bank ratings']"
54,1235,54_net profit_net_pct_profit,"['net profit', 'net', 'pct', 'profit', 'briefchina', 'q1 net', 'mln yuan', 'h1', 'q1', 'yuan']","['brief-soochow securities q1 net profit up 276.2 pct', 'brief-weifu high-tech 2015 net profit down 1.6 pct', 'pzu sees 2010 net profit down at least a quarter']"
55,1201,55_oil prices_oil_prices_prices fall,"['oil prices', 'oil', 'prices', 'prices fall', 'crude', 'prices rise', 'data oil', 'glut', 'inventory', 'supply']","['oil prices power to high for year', 'oil prices boost lukoil profit', 'oil prices rally']"
56,1186,56_platform_trading_forex_trading platform,"['platform', 'trading', 'forex', 'trading platform', 'options', 'traders', 'launches', 'stock options', 'introduces', 'launches new']","['forexegg launches forex algorithmic trading', 'global trading platform iforex unveils 1-on-1 forex training', 'zulutrade: leading automated social forex trading platform now available to nord fx traders']"
57,1168,57_holiday_retail sales_retail_retailers,"['holiday', 'retail sales', 'retail', 'retailers', 'shopping', 'season', 'friday', 'sales', 'monday', 'black']","['retailers forecast stronger holiday shopping', 'holiday sales rise, but not all retailers are cheery', 'gmdc unwraps holiday retail trends']"
58,1160,58_quarter results_operating results_results_operational,"['quarter results', 'operating results', 'results', 'operational', 'operating', 'quarter', 'energy', 'second quarter', 'fourth quarter', '2013 quarter']","['amsc reports first quarter financial results', 'sjw corp. announces third quarter financial results', 'zep inc. reports first quarter financial results']"
59,1157,59_alert_investigation_investor alert_sale,"['alert', 'investigation', 'investor alert', 'sale', 'shareholder', 'board directors', 'taylor', 'directors', 'investigate', 'powers']","['investor alert: levi & korsinsky, llp announces investigation of arthrocare corporation and its board of directors in connection with the sale of the company to smith & nephew plc -- artc', 'investor alert: levi & korsinsky, llp announces investigation of atmi inc. and its board of directors in connection with the sale of the company to entegris, inc. -- atmi', 'investor alert levi & korsinsky, llp announces investigation of xyratex ltd. and its board of directors in connection with the sale of the company to intrexon corporation -- xrtx']"
60,1153,60_google_audit_chinese_crackdown,"['google', 'audit', 'chinese', 'crackdown', 'china', 'antitrust', 'probe', 'corruption', 'cyber', 'internet']","['apple siri boots google for bing', 'google in industry verticals', 'congratulations google, you re now a conglomerate']"
61,1151,61_loss_earnings share_loss widens_posts,"['loss', 'earnings share', 'loss widens', 'posts', 'widens', 'share', 'narrows', 'loss narrows', 'posts loss', 'q1']","['quiksilver posts a narrower loss', 'semtech posts narrower loss', 'brief-widepoint corp posts qtrly loss per share of $0.066']"
62,1145,62_advisors_wealth_wealth management_advisor,"['advisors', 'wealth', 'wealth management', 'advisor', 'management', 'independent', 'capital advisors', 'barron', 'registered', 'managers']","['wealth management news - march 8', 'wealth management news - may 2', 'wealth management news - may 1']"
63,1133,63_german_germany_indicators_surplus,"['german', 'germany', 'indicators', 'surplus', 'german data', 'economic', 'current account', 'bundesbank', 'account', 'orders']","['sonoco to buy germany weidenhammer', 'german companies on a tear in u.s.', 'nuts in germany']"
64,1131,64_stocksfutures_stock index_signal_futures,"['stocksfutures', 'stock index', 'signal', 'futures', 'point', 'index', 'stock', 'open', 'dip', 'eyed']","['u.s. stock index futures signal higher open', 'u.s. stock index futures signal higher open', 'u.s. stock index futures signal flat to higher open']"
65,1129,65_profit rises_rises_profit_profit climbs,"['profit rises', 'rises', 'profit', 'profit climbs', 'posts higher', 'expectations', 'tops expectations', 'higher profit', 'climbs', 'posts']","['aramark profit rises', 'paccar profit rises 9.5%', 'brief-smiths news interim profit rises']"
66,1124,66_marketing_digital_ecommerce_advertising,"['marketing', 'digital', 'ecommerce', 'advertising', 'digital marketing', 'content', 'audience', 'marketers', 'engagement', 'experience']","['digital brand media & marketing group, inc. trading as dbmm', 'liquidhub acquires digital marketing agency foundry9', 'nis holdings partners with wasabi rabbit for its digital strategy & marketing']"
67,1119,67_fx_canada_british_weakens,"['fx', 'canada', 'british', 'weakens', 'bank canada', 'parity', 'business', 'low', 'strengthens', 'firms']","['canada fx debt-c$ steady after last week gains', 'canada fx debt-c$ firms with u.s. stocks; focus on europe', 'btig launches tradesave fx']"
68,1115,68_yuan_currency_china yuan_china,"['yuan', 'currency', 'china yuan', 'china', 'pboc', 'cbank', 'land', 'bln yuan', 'sets', 'china cbank']","['niall ferguson on china yuan move', 'china punctures yuan euphoria, gains to be glacial', 'china staid yuan roams']"
69,1108,69_blackrock_etf_mutual_mutual fund,"['blackrock', 'etf', 'mutual', 'mutual fund', 'invesco', 'vanguard', 'fund', 'funds', 'mutual funds', 'asset management']","['blackrock ceo: investors are afraid', 'blackrock geeky guys business', 'blackrock launches cori funds']"
70,1107,70_australia_shares_nz_seen,"['australia', 'shares', 'nz', 'seen', 'australian', 'shares slip', 'miners', 'shares rally', 'shares fall', 'slip']","['australia oil markets, 2012', 'houlihan lokey lured to australia', 'honing the ax for australia timber']"
71,1096,71_shale_oil gas_gas_drilling,"['shale', 'oil gas', 'gas', 'drilling', 'oil', 'boom', 'gas industry', 'global oil', 'bakken', 'analysis forecasts']","['antrim shale in the us - oil and gas shale market analysis and forecast to 2020', 'fsu oil and gas statistic yearbook 2014', 'bakken shale in the us, 2012 - oil and gas shale market analysis and forecasts to 2020']"
72,1095,72_testing_diagnostics_supplier_strategies,"['testing', 'diagnostics', 'supplier', 'strategies', 'country', 'diagnostic', 'molecular', 'opportunities', 'competitive', 'disease']","['2016 future horizons and growth strategies in the us hepatitis diagnostic testing market: supplier shares, country segment forecasts, competitive intelligence, emerging opportunities', 'european molecular diagnostics market 2015: supplier shares, country forecasts, innovative technologies, competitive strategies', 'us tumor marker testing market 2015-2019: supplier shares, country forecasts, innovative technologies, competitive strategies']"
73,1091,73_affirms_fitch affirms_stable_fitch,"['affirms', 'fitch affirms', 'stable', 'fitch', 'outlook stable', 'ratings', 'bbb', 'outlook', 'ratings outlook', 'textfitch']","['text-fitch affirms bank mayapada at a- idn ; outlook stable', 'fitch affirms byblos bank at b ; outlook stable', 'fitch affirms westar and kge ratings at bbb ; outlook stable']"
74,1090,74_euro_dollar euro_vs dollar_euro falls,"['euro', 'dollar euro', 'vs dollar', 'euro falls', 'vs', 'dollar', 'ecb', 'euro hits', 'euro rises', 'euro gains']","['euro falls to two-week low vs. dollar', 'estonia still eager for euro', 'euro could get kicked while down']"
75,1075,75_natural gas_natural_gas_gas prices,"['natural gas', 'natural', 'gas', 'gas prices', 'weather', 'inventories', 'prices', 'analysts', 'futures', 'cold']","['natural gas rises again', 'natural gas falls 1.9%', 'natural-gas data overstated']"
76,1073,76_cable_warner_verizon_fox,"['cable', 'warner', 'verizon', 'fox', 'sprint', 'time warner', 'comcast', 'time', 'dish', 'cbs']","['comcast to drop proposal to buy time warner cable', 'time warner cable says to put investors first in any deal', 'time warner cable profit up']"
77,1071,77_copper_low_demand_metals,"['copper', 'low', 'demand', 'metals', 'china demand', 'worries', 'dollar', 'china', 'lme', 'settles']","['copper futures end flat', 'copper drops 6.1%', 'copper gains 2.2%']"
78,1056,78_insurance_insurers_life insurance_insurance industry,"['insurance', 'insurers', 'life insurance', 'insurance industry', 'life', 'insurance market', 'reinsurance', 'best', 'trends opportunities', 'insurer']","['insurance technology - 2011 trends to watch', 'insurers dodge bullet', 'next insurance refuels to back its pivot']"
79,1053,79_city_new york_york_luxury,"['city', 'new york', 'york', 'luxury', 'building', 'york city', 'park', 'homes', 'tower', 'manhattan']","['construction in new york city goes through the roof', 'property watch: new york city gets 10 new landmarks', 'slew of cinemas slated for new york city in 2016']"
80,1050,80_singapore_midday_stocks_focus,"['singapore', 'midday', 'stocks', 'focus', 'temasek', 'hot', 'property', 'dbs', 'times', 'reit']","['capitaland to keep focus on singapore, china', 'singapore dollar ends lower', 'singapore stocks down as earnings unfold']"
81,1048,81_italy_italian_yields_spanish,"['italy', 'italian', 'yields', 'spanish', 'euro', 'yields rise', 'spain', 'yields fall', 'ecb', 'auction']","['over italy and spain', 'former top executive of italy bank detained', 'italy debt drubs asia']"
82,1044,82_red_selected_named_100,"['red', 'selected', 'named', '100', 'award', 'north america', 'earns', 'spot', 'north', 'list']","['mediaforge selected as a red herring top 100 north america tech startup', 'accurence selected as a 2012 red herring top 100 north america company', 'cybershift selected as 2010 red herring top 100 north america award winner']"
83,1043,83_investigation_law_law firm_behalf,"['investigation', 'law', 'law firm', 'behalf', 'investigates', 'violations', 'firm', 'alert', 'offices', 'claims']","['equity alert: the rosen law firm announces investigation of securities claims against mastec, inc.', 'equity alert: the rosen law firm announces investigation of securities claims against idi, inc.', 'shareholder alert -- the law firm girard gibbs llp launches an investigation into claims on behalf of shareholders of osi systems, inc.']"
84,1026,84_swiss_franc_switzerland_zurich,"['swiss', 'franc', 'switzerland', 'zurich', 'vs', 'jordan', 'tax', 'national bank', 'cap', 'low vs']","['strong swiss franc hits snb', 'swiss franc gains', 'swiss franc falls']"
85,1013,85_goldman_sachs_goldman sachs_glencore,"['goldman', 'sachs', 'goldman sachs', 'glencore', 'inter', 'capital plan', 'colfax', 'performance data', 'trader', 'estimated']","['lennox international to present at goldman sachs conference', 'brief-goldman sachs falls after results', 'reg - goldman sachs amwellstream hldgs plc - form 8.3 - wellstream holdings plc']"
86,1010,86_nikkei_yen_exporters_edges,"['nikkei', 'yen', 'exporters', 'edges', 'slips', 'high', 'gains', 'profittaking', 'falls', 'boj']","['nikkei falls as yen gains; europe rises', 'jbic to back yen-denominated bonds - nikkei', 'nikkei flat, other markets fall']"
87,1004,87_gaming_game_games_casino,"['gaming', 'game', 'games', 'casino', 'gambling', 'online', 'video', 'social', 'entertainment', 'mobile']","['boyd gaming to buy aliante casino', 'cloud gaming: seeding growth', 'brief-rightside acquires .games for growing gaming industry']"
88,989,88_brexit_uk_brexit vote_cameron,"['brexit', 'uk', 'brexit vote', 'cameron', 'britain', 'vote', 'house prices', 'economy', 'eu', 'british']","['uk may says model for brexit deal may not exist yet', 'u.s. financial risks increase after brexit', 'financial stocks reel under brexit impact']"
89,974,89_irish_ireland_allied_notice,"['irish', 'ireland', 'allied', 'notice', 'anglo', 'stock exchange', 'gem', 'exchange', 'banks', 'gov']","['bank of ireland arrears rise', 'for ireland banks', 'painful countdown in ireland']"
90,963,90_ftse_britain_miners_commods,"['ftse', 'britain', 'miners', 'commods', 'uk', '100', 'banks', 'treasury', 'commodities', 'drag']","['britain ftse hit by u.s. data after touching three-week high', 'strong miners, banks hoist britain ftse higher', 'reg - ftse - dtz holdings plc']"
91,963,91_mln euro_bond_new issue_mln,"['mln euro', 'bond', 'new issue', 'mln', '500 mln', 'bln euro', 'prices', 'issue', '10 bln', 'euro']","['new issue-corio prices 500 mln euro 2018 bond', 'new issue-bhh prices 500 mln euro 2015 bond', 'new issue- eib prices 500 mln euro 2045 bond']"
92,960,92_obama_shutdown_republicans_trump,"['obama', 'shutdown', 'republicans', 'trump', 'budget', 'gop', 'government shutdown', 'deficit', 'ceiling', 'clinton']","['the syrian risks holding back obama', 'obama and the catholic vote', 'obama says no, for now, to canada pipeline']"
93,941,93_health_exchanges_healthcare_care,"['health', 'exchanges', 'healthcare', 'care', 'health care', 'health insurance', 'insurance', 'hospital', 'cardinal', 'wellness']","['steris to buy synergy health for $1.9 billion', 'financial health of companies in the other healthcare services', 'optum to buy alere health']"
94,940,94_economy_economists_global economy_economic,"['economy', 'economists', 'global economy', 'economic', 'productivity', 'economic growth', 'economic recovery', 'recovery', 'macro', 'job']","['global economy-no halloween horrors in store from the fed', 'all is not well in global economy, warns investor gundlach', 'the economy in 2012']"
95,923,95_fargo_wells_wells fargo_bofa,"['fargo', 'wells', 'wells fargo', 'bofa', 'presents', 'mortgage', 'mbia', 'securities', 'sues', 'bank america']","['wells fargo launches my retirement plansm', 'wells fargo profit rises', 'wells fargo to buy analytic investors']"
96,921,96_major_notification_interests_available online,"['major', 'notification', 'interests', 'available online', 'breaking', 'shares', 'meetings', 'act', 'shareholding', 'available']","['reg - pinewood shepperton - tr-1: notification of major interest in shares', 'reg - melrose plc - tr1 notification of major interest in shares', 'reg - deltex med grp plc - notification of major interest in shares']"
